tweet_id,tweet_text,sector,sentiment_score,neg_pos
1574122434432729088,"@thatEsselguy We still dey back in every thinh ghana 🤦🏾‍♂️ Music,Sports,education even politics",education,,
1574085767881785345,"The minister of education in Ghana, Hon. Yaw Adutwum, on point! 🔥 https://t.co/QhQvl2GIVI",education,,
1574045918491557888,Religion in Africa: #Africa #Religion #White #Colorist #Colorism #Race #Jesus #WhiteJesus #mzungu #Obroni #Racists #education #Ghana #Kenya #Nigeria #FakeChristians https://t.co/SpWZdb6rNt,education,,
1574045778603016192,Religion in Africa: #Africa #Religion #White #Colorist #Colorism #Race #Jesus #WhiteJesus #mzungu #Obroni #Racists #education #Ghana #Kenya #Nigeria #FakeChristians https://t.co/qJ9E7vHbib,education,,
1574044070867001344,"Joy in Ghana as 8-year-old girl, 2 others win national reading competition https://t.co/IQAGghqOQC",education,,
1574043815492874241,Religion in Africa: #Africa #Religion #White #Colorist #Colorism #Race #Rutothe5th #Hypocrites #Jesus #Corruption #Colonizers #liars #WhiteJesus #mzungu #Obroni #Racists #education #Ghana #Kenya #Nigeria #FakeChristians https://t.co/21o08TxQvj,education,,
1574042535890391042,Religion in Africa: #Africa #Religion #White #Colorist #Colorism #Race #Rutothe5th #Hypocrites #Jesus #Corruption #Colonizers #liars #WhiteJesus #mzungu #Obroni #Racists #education #Ghana #Kenya #Nigeria #FakeChristians https://t.co/jrcdDa2PV1,education,,
1574042075796017154,Religion in Africa: #Africa #Religion #White #Colorist #Colorism #Race #Rutothe5th #Hypocrites #Jesus #Corruption #Colonizers #liars #WhiteJesus #mzungu #Obroni #Racists #education #Ghana #Kenya #Nigeria #FakeChristians https://t.co/OpU1V4WyRF,education,,
1574041985052188676,Religion in Africa: #Africa #Religion #White #Colorist #Colorism #Race #Rutothe5th #Hypocrites #Jesus #Corruption #Colonizers #liars #WhiteJesus #mzungu #Obroni #Racists #education #Ghana #Kenya #Nigeria #FakeChristians https://t.co/4FjEllpSII,education,,
1574041868416974848,Religion in Africa: #Africa #Religion #White #Colorist #Colorism #Race #Rutothe5th #Hypocrites #Jesus #Corruption #Colonizers #liars #WhiteJesus #mzungu #Obroni #Racists #education #Ghana #Kenya #Nigeria #FakeChristians https://t.co/21o08TxiFL,education,,
1574041580368850950,"@alhajj_x @tv3_ghana Free education puts money in your pockets, free education feeds you when you're hungry, free education helps the cedi appreciate towards the dollar",education,,
1574019506900504576,Modern day slavery in Ghana: #Ghana #Children #Slavery #LakeVolta #VoltaRegion #Enslaved #fishing #ChildAbuse #ChildRape #Defilement #babies #Accra #Ghanian #Sold #SoldChildren #corrupted #IranProtests2022 #CorruptGovernment #education #help https://t.co/tGkfOMCYFw,education,,
1574019265770004480,Modern day slavery in Ghana: #Ghana #Children #Slavery #LakeVolta #VoltaRegion #Enslaved #fishing #ChildAbuse #ChildRape #Defilement #babies #Accra #Ghanian #Sold #SoldChildren #corrupted #CorruptGovernment #education #help https://t.co/8uOiMzKvnN,education,,
1574019182814953472,Modern day slavery in Ghana: #Ghana #Children #Slavery #LakeVolta #VoltaRegion #Enslaved #fishing #ChildAbuse #ChildRape #Defilement #babies #Accra #Ghanian #Sold #SoldChildren #corrupted #CorruptGovernment #education #help https://t.co/hTORLKIFzu,education,,
1574019074098618369,Modern day slavery in Ghana: #Ghana #Children #Slavery #LakeVolta #VoltaRegion #Enslaved #fishing #ChildAbuse #ChildRape #Defilement #babies #Accra #Ghanian #Sold #SoldChildren #corrupted #CorruptGovernment #education #help https://t.co/lFZb6v3V8b,education,,
1574019019627282432,Modern day slavery in Ghana: #Ghana #Children #Slavery #LakeVolta #VoltaRegion #Enslaved #fishing #ChildAbuse #ChildRape #Defilement #babies #Accra #Ghanian #Sold #SoldChildren #corrupted #CorruptGovernment #education #help https://t.co/tGkfOMCYFw,education,,
1574016436774772737,Homelessness &amp; Poverty in Ghana: #Ghana #news #Homeless #NanaAddo #AkufoAddo #homelessness #Poverty #Inflation #GhanaBloggersSummit #GhanaBrazil #CORRUPTION #Africa #income #education #HousingCrisis #housingmarket #Accra https://t.co/hQYToRO013,education,,
1574016220856258562,Homelessness &amp; Poverty in Ghana: #Ghana #news #Homeless #NanaAddo #AkufoAddo #homelessness #Poverty #Inflation #GhanaBloggersSummit #GhanaBrazil #CORRUPTION #Africa #income #education #HousingCrisis #housingmarket #Accra https://t.co/hewSC87bow,education,,
