tweet_id,tweet_text,sector,sentiment_score,neg_pos
1573988903094308866,@GanyoBi__ @NanaKAbabio bossu posterity far..use lorry fare and price of food to judge him..you can also use agyapa deal..when did Ghana become the capital for stupidity..your stomach is empty you are talking about tourism..WTF,food,,
1573040216973406208,"Food jar (Jojo’s baby store)

💵 Price: GHC 90

🌍 Ghana

🔗 To buy &amp; more info: https://t.co/7gA1qxLibY

#findwithcatlog https://t.co/rvY5ZIsK60",food,,
1574008345735864322,"Goal 1: End poverty : Ghanaian are poorer than we’ve been 4 - 6 years ago.

Goal 2: End hunger. More Ghanaian are hungry due to high cost food in Ghana.

Goal 3 : Good healthcare :More health professionals have fled the country in the last  4- 6 years than ever.

What work ? https://t.co/AyGywnnYMK",food,,
1573249436930965504,@tv3_ghana Yes. Rising cost of food and utilities is one of the increasing terrorism threat .,food,,
1573332708725506049,@asemota It's been working for me. The only issue I'm having is my metabolism rate. My system got used to one meal per day that if I do 2 meals wahala go start.,food,,
1571903800750792705,"@DejaRu22 The three meals per day paradigm is killing us.

Your digestive system is literally working all of the time. Non stop. Gut biomes wrecked these days 

When you fast, your body freezes in time. You quite literally slow your aging.",food,,
1573996310683963392,"What was a weight loss game changer for you? Was there a certain snack, meal, system, mindset, habit, activity, etc that made weight loss more achievable for you?
 
 https://t.co/StBfzUqQko 
 
#hälsosammat #healthylifestyle #healthy #snack #hemlagat #hälsosam #glutenfree",food,,
1573972847143395328,"The foregoing awesome system permits your skin to renew in addition , shift body-fat https://t.co/IAjqw1NaGn",food,,
1573860652527099905,@RecklessBeading @mhdksafa Taxes. If they could buy you lunches I'm sure they could afford taxes to take advantage of a universal system designed to make sure all kids get at least one meal a day. I can feed my kid but I take advantage of the free lunches provided by my local park during the summer.,food,,
1573844201057517568,"@mommamia1217 @Donna901B Still trying to think of a male equivalent like ""Men can no longer take a dump after each meal as it puts too much strain on the sewer system. BMs will be restricted to one session every other day even if life-threatening bowel obstructions or perforations occur.""",food,,
1573777396792270854,"@Win98Tech I wanted a food buff system that encouraged you to go find food vendors and vending machines. A day is 3 hours, which means you could have a meal provide an hour long buff.

Yes, I am suggesting they should've gone for the Yakuza route.",food,,
1573722221692194817,"one meal a day bc thats all i have the energy for 
fk u eoys fk u education system",food,,
1573697765623926784,"@emwabili @WekesawaKisika @CMwachonda You are lucky to be among a few Kenyans who can afford to pay for good healthcare. There people who cannot even afford a meal a day leave alone purchase panadol. If you choose to work in public healthcare system, do so with an open heart.",food,,
1573500999993540608,"Dr. Sebi: The 3-Step System to Naturally Detox Your Body Through Dr. Sebi Alkaline Diet (Includes a Step-by-Step 7-Day Meal P [IMCGEPW]

https://t.co/tXwpDl7xB9",food,,
1573409107612254224,"Since I'm home today taking care of my momma, I can have snacks throughout the day instead of a big meal for lunch which is better for my digestive system. So far I've had my protein drink, cheese &amp; crackers and an apple turnover, all spaced about 90 min apart from each other",food,,
1573380938616160259,"@CucsmanM What if the same person killed someone’s husband, father, brother, uncle or grandfather. What punishment such person deserve. Should he go to jail, have three meal a day and the family mourning their loved one. SA courts and justice system are very weak, people will use necklace",food,,
1573374587588468736,"The foregoing awesome system permits your skin to renew in addition , shift body-fat https://t.co/pwHNe0mGIO",food,,
1573301460401528832,Its 3:30PM and I didn’t had any food yet. I’m going to have a 261 cals coffee (it’s a lot I know but it’s fit in my limit for the day) Meal plan is 1083 cals bc i wanna start my digestive system. I’ll took more lax tonight.,food,,
1573026040196251648,Been living by that one meal a day for long enough and i still question my immune system’s weakness,food,,
1572895356874264583,"6. Reward yourself.
Setup an external reward system.
Have a cheat meal on Sunday when you've run each day this week.
When you've read a book each day, watch a movie on the weekend.
When we reward the behavior, we're more likely to remain committed to the behavior.",food,,
1572829801018429442,"The foregoing awesome system permits your skin to renew in addition , shift body-fat https://t.co/x9vxpwgUlo",food,,
1572827692948488193,@GMB With the #CostOfLivingCrisis why can’t every child in school in England regardless of their class get a free school meal like the rest of the UK when #England is the biggest contributor to the tax system #GMB this would guarantee one hot meal for every child a day in England,food,,
1572460841076670464,Weightloss is undoubtedly simplistic as soon as incorporate my the following splendid magic-formula that will permit your body system to improve good being https://t.co/VRUSCi86kd,food,,
1572363990126465029,Weightloss is undoubtedly simplistic as soon as incorporate my the following splendid magic-formula that will permit your body system to improve good being https://t.co/7PXRCCuG2q,food,,
1572089028349935618,Weightloss is undoubtedly simplistic as soon as incorporate my the following splendid magic-formula that will permit your body system to improve good being https://t.co/M1trRtF5vu,food,,
1571926216588005377,I know it's been said a bunch but I am so pro-rice for like every meal. You can literally make it taste like whatever you want with seasonings. This tweet brought to you by benadryl not leaving my system as fast as I thought it would and my nap messing my day up entirely.,food,,
1571716083723149313,Weightloss is undoubtedly simplistic as soon as incorporate my the following splendid magic-formula that will permit your body system to improve good being https://t.co/7PXRCCu8cS,food,,
1571589381797838848,Weightloss is undoubtedly simplistic as soon as incorporate my the following splendid magic-formula that will permit your body system to improve good being https://t.co/nUV3RtWaZ8,food,,
1571558504984371200,"@michelletandler I'm anti excessive homework. The school system has your child for at least 7 hours a day. The child should have time after school for sleep, a family meal, play, unstructured interaction with people. 

If they are behind, the schools need to re-evaluate how they are using time.",food,,
1574006418461655046,"Here is an overview of a Mediterranean eating pattern, how to create a healthy Mediterranean plate using the Diabetes Plate Method and Mediterranean recipes you can try.   https://t.co/KjqXFrPYYg",food,,
1573945386695536641,"You go to a running coach and ask them to make you an elite one, they will ask you to change exercise, diet, sleep pattern, resting time so much that you might need to quit your job.

Even after that you need proper genetics and might have trained a decade late",food,,
1573905017437839361,Good morning!  Happy Sunday.  I drank too much Diet Coke while out for dinner last night and i’ve messed up my sleep pattern again.  Still i did manage to catch up on a bit of #Strictly https://t.co/bteqr8Oiap,food,,
1573702477316136961,@diethingy ga ada makanan spesifik yg bisa nurunin BB. yg bisa nurunin BB ya pattern/diet methodnya,food,,
1573670577310953472,"Intermittent fasting is not a diet in the conventional sense, but rather an eating pattern - a timed approach to eating.",food,,
1573635986537447425,"The flexitarian eating pattern is more of a lifestyle change as opposed to a diet, consisting of consuming more plant-based, whole foods and limiting processed and packaged foods.   https://t.co/wSn4GAXQ0t",food,,
1573615411060510720,"Nut consumption is associated with a shift of the NMR lipoprotein subfraction profile to a less atherogenic pattern among older individuals at high CVD risk (open access)

https://t.co/dJ5NGL6urp

#nutrition #diet #nuts #MetabolicSyndrome #InsulinResistance #Cholesterol",food,,
1573545278388375552,"Portfolio rebalancing is like making changes in your diet in accordance with the changes in your nutrition requirement.
Rebalancing helps you
- Manage to change risks
- Adapt your investing pattern to match your evolving lifestyle
- Reassess your investments to match changes. https://t.co/CIh1oL8KpG",food,,
1573538999750299649,@dren_braves @ me every time I get Two Days into a diet or relatively healthy eating pattern,food,,
1573490625487437824,"@Mangan150 There's a clear pattern here:

Refined oils are the highest in LA.

And from looking at this, it would also make sense that while LA is a normal nutrient in our diet, it shouldn't be consumed in high amounts.

As no natural fat source contains high amounts.",food,,
1573419642013507585,Excited to share this item from my #etsy shop: Knitted Iced Doughnut Knitting Pattern  #embroidery #knit #knitting #yummy #diet #party #shop #fun #knittedcake #knitteddoughnut #doughnuts #yarn #icedcakes #yarncake https://t.co/z2SrlRdJsH https://t.co/2pPCZJNARh,food,,
